Name,Meta1,Meta2,Meta3
220406b.0m.asd                 No-OAR,Pervious,Plant,High Marsh
220406b.1m.asd                 No-OAR,Pervious,Plant,High Marsh
220406b.2m.asd                 No-OAR,Pervious,Plant,High Marsh
220406b.3m.asd                 No-OAR,Pervious,Plant,High Marsh
220406b.4m.asd                 No-OAR,Pervious,Plant,High Marsh
220406b.5m.asd                 No-OAR,Pervious,Plant,High Marsh
220406b.6m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.7m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.8m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.9m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.10m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.11m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.12m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.13m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.14m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.15m.asd                 No-OAR,Pervious,Plant,Pickleweed
220406b.16m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.17m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.18m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.19m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.20m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.21m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.22m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.23m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.24m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.25m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406b.26m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406b.27m.asd                 No-OAR,Pervious,Bare Soil,Bare Soil
220406b.28m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.29m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.30m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.31m.asd                 No-OAR,Pervious,Mixed,Bare Soil/Pickleweed
220406b.32m.asd                 No-OAR  ,Pervious,Water,Shallow Water
